Order ID,Order Date,Ship Date,Customer Segment,Product Category,Sales,Profit,Quantity,Discount,Region
CA-2013-152156,09-11-2013,12-11-2013,Consumer,Furniture,261.96,41.9136,2,0.0,South
CA-2013-152156,09-11-2013,12-11-2013,Consumer,Furniture,731.94,219.582,3,0.0,South
CA-2013-138688,13-06-2013,17-06-2013,Corporate,Office Supplies,14.62,6.8714,2,0.0,West
US-2012-108966,11-10-2012,18-10-2012,Consumer,Furniture,957.5775,-383.031,5,0.45,South
US-2012-108966,11-10-2012,18-10-2012,Consumer,Office Supplies,22.368,2.5164,2,0.2,South
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Furniture,48.86,14.1694,7,0.0,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Office Supplies,7.28,1.9656,4,0.0,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Technology,907.152,90.7152,6,0.2,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Office Supplies,18.504,5.7825,3,0.2,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Office Supplies,114.9,34.47,5,0.0,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Furniture,1706.184,85.3092,9,0.2,West
CA-2011-115812,09-06-2011,14-06-2011,Consumer,Technology,911.424,68.3568,4,0.2,West
CA-2014-114412,16-04-2014,21-04-2014,Consumer,Office Supplies,15.552,5.4432,3,0.2,South
CA-2013-161389,06-12-2013,11-12-2013,Consumer,Office Supplies,407.976,132.5922,3,0.2,West
US-2012-118983,22-11-2012,26-11-2012,Home Office,Office Supplies,68.81,-123.858,5,0.8,Central
US-2012-118983,22-11-2012,26-11-2012,Home Office,Office Supplies,2.544,-3.816,3,0.8,Central
CA-2011-105893,11-11-2011,18-11-2011,Consumer,Office Supplies,665.88,13.3176,6,0.0,Central
CA-2011-167164,13-05-2011,15-05-2011,Consumer,Office Supplies,55.5,9.99,2,0.0,West
CA-2011-143336,27-08-2011,01-09-2011,Consumer,Office Supplies,8.56,2.4824,2,0.0,West
CA-2011-143336,27-08-2011,01-09-2011,Consumer,Technology,213.48,16.011,3,0.2,West
CA-2011-143336,27-08-2011,01-09-2011,Consumer,Office Supplies,22.72,7.384,4,0.2,West
CA-2013-137330,10-12-2013,14-12-2013,Corporate,Office Supplies,19.46,5.0596,7,0.0,Central
CA-2013-137330,10-12-2013,14-12-2013,Corporate,Office Supplies,60.34,15.6884,7,0.0,Central
US-2014-156909,17-07-2014,19-07-2014,Consumer,Furniture,71.372,-1.0196,2,0.3,East
CA-2012-106320,25-09-2012,30-09-2012,Consumer,Furniture,1044.63,240.2649,3,0.0,West
CA-2013-121755,16-01-2013,20-01-2013,Consumer,Office Supplies,11.648,4.2224,2,0.2,West
CA-2013-121755,16-01-2013,20-01-2013,Consumer,Technology,90.57,11.7741,3,0.0,West
US-2012-150630,17-09-2012,21-09-2012,Consumer,Furniture,3083.43,-1665.0522,7,0.5,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Office Supplies,9.618,-7.0532,2,0.7,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Furniture,124.2,15.525,3,0.2,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Office Supplies,3.264,1.1016,2,0.2,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Office Supplies,86.304,9.7092,6,0.2,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Office Supplies,6.858,-5.715,6,0.7,East
US-2012-150630,17-09-2012,21-09-2012,Consumer,Office Supplies,15.76,3.546,2,0.2,East
CA-2014-107727,20-10-2014,24-10-2014,Home Office,Office Supplies,29.472,9.9468,3,0.2,Central
CA-2013-117590,09-12-2013,11-12-2013,Corporate,Technology,1097.544,123.4737,7,0.2,Central
CA-2013-117590,09-12-2013,11-12-2013,Corporate,Furniture,190.92,-147.963,5,0.6,Central
CA-2012-117415,27-12-2012,31-12-2012,Home Office,Office Supplies,113.328,35.415,9,0.2,Central
CA-2012-117415,27-12-2012,31-12-2012,Home Office,Furniture,532.3992,-46.9764,3,0.32,Central
CA-2012-117415,27-12-2012,31-12-2012,Home Office,Furniture,212.058,-15.147,3,0.3,Central
CA-2012-117415,27-12-2012,31-12-2012,Home Office,Technology,371.168,41.7564,4,0.2,Central
CA-2014-120999,11-09-2014,16-09-2014,Corporate,Technology,147.168,16.5564,4,0.2,Central
CA-2013-101343,18-07-2013,23-07-2013,Corporate,Office Supplies,77.88,3.894,2,0.0,West
